province,prefecture,2022-12,2022-11,2022-10,2022-9,2022-8,2022-7,2022-6,2022-5,2022-4,2022-3,2022-2,2022-1
陕西省,商洛市,6.346835761,5.398800187,5.106317862,4.845140046,6.30970002,5.860081335,5.670719746,5.003197126,4.770561657,5.478172738,5.164945687,5.468422779
甘肃省,全省,139.0,130.0,126.0,119.0,126.0,127.0,126.0,124.0,119.0,123.0,114.0,128.0
甘肃省,兰州市,,,,,,19.5,18.34,,,,,
甘肃省,嘉峪关市,,,,,,,,,,,,
甘肃省,金昌市,8.12,8.29,7.98,8.22,7.4,7.52,8.0,8.02,7.61,7.81,7.348405424,8.14
甘肃省,白银市,,,,,,,,,,,,
甘肃省,天水市,,,,,,,,,,,,
甘肃省,武威市,,,,,,,,,,,,
甘肃省,张掖市,,,,,,,,,,,,
甘肃省,平凉市,,,,,,,,,,,,
甘肃省,酒泉市,,,,,,,,,,,,
甘肃省,庆阳市,,,,,,,,,,,,
甘肃省,定西市,5.29,5.25,5.11,4.79,4.72,4.78,4.59,4.7,4.58,4.83,4.522854237,5.01
甘肃省,陇南市,,,,,,,,,,,,
甘肃省,临夏回族自治州,3.19,2.9,2.68,2.34,2.2,2.4,2.6,2.6,2.4,2.5,2.752542373,3.05
甘肃省,甘南藏族自治州,,,,,,,,,,,,
青海省,全省,83.0,80.0,82.0,74.0,75.0,77.0,75.0,77.0,75.0,78.0,69.0,77.0
青海省,西宁市,,,,,,,,,,,,
青海省,海东市,,,,,,,,,,,,
青海省,海北藏族自治州,,,,,,,,,,,,
青海省,黄南藏族自治州,,,,,,,,,,,,
青海省,海南藏族自治州,,,,,,,,,,,,
青海省,果洛藏族自治州,,,,,,,,,,,,
青海省,玉树藏族自治州,,,,,,,,,,,,
青海省,海西蒙古族藏族自治州,,,,,,,,,,,,
宁夏回族自治区,全省,116.0,102.0,101.0,96.0,104.0,108.0,108.0,113.0,103.0,108.0,96.0,96.0
宁夏回族自治区,银川市,,,,,,,,,,,,
宁夏回族自治区,石嘴山市,,,,,,,,,,,,
宁夏回族自治区,吴忠市,,,,,,,,,,,,
宁夏回族自治区,固原市,,,,,,,,,,,,
宁夏回族自治区,中卫市,,,,,,,,,,,,
新疆维吾尔自治区,全省,330.0,285.0,261.0,257.0,296.0,313.0,301.0,288.0,279.0,271.0,269.0,284.0
新疆维吾尔自治区,乌鲁木齐市,,,,,,,,,,,,
新疆维吾尔自治区,克拉玛依市,,,,,,,,,,,,
新疆维吾尔自治区,吐鲁番市,,,,,,,,,,,,
新疆维吾尔自治区,哈密市,,,,,,,,,,,,
新疆维吾尔自治区,昌吉回族自治州,,,,,,,,,,,,
新疆维吾尔自治区,博尔塔拉蒙古自治州,,,,,,,,,,,,
新疆维吾尔自治区,巴音郭楞蒙古自治州,,,,,,,,,,,,
新疆维吾尔自治区,阿克苏地区,,,,,,,,,,,,
新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,,,,,,,,,,,,
新疆维吾尔自治区,喀什地区,,,,,,,,,,,,
新疆维吾尔自治区,和田地区,,,,,,,,,,,,
新疆维吾尔自治区,伊犁哈萨克自治州,,,,,,,,,,,,
新疆维吾尔自治区,塔城地区,,,,,,,,,,,,
新疆维吾尔自治区,阿勒泰地区,,,,,,,,,,,,
北京,北京市,118.0,121.0,101.0,83.0,80.0,105.0,112.0,136.0,130.0,110.0,87.0,91.0
重庆,重庆市,171.0,157.0,117.0,103.0,98.0,108.0,100.0,114.0,113.0,108.0,116.0,119.0
天津,天津市,93.0,95.0,83.0,75.0,70.0,82.0,75.0,89.0,95.0,84.0,74.0,75.0
上海,上海市,209.0,201.0,147.0,103.0,93.0,128.0,140.0,158.0,154.0,129.0,138.0,161.0
